Id,SalePrice
1461,120071.2097292257
1462,157040.93041529597
1463,184814.35113966855
1464,193596.54691986303
1465,193495.82268455366
1466,171746.88946990593
1467,174679.24187951046
1468,164957.7103501549
1469,183358.30645337104
1470,126200.26910163242
1471,186335.20401396637
1472,95607.88766445708
1473,96307.5642968529
1474,143544.41513610628
1475,109774.52879802237
1476,370706.59188240144
1477,252581.92561451616
1478,292705.74037776195
1479,292037.4626358046
1480,505254.7682346856
1481,334356.3568645684
1482,210907.36049135073
1483,177146.56787344412
1484,163975.320396264
1485,184284.12648597543
1486,194832.05202221178
1487,344524.5353220377
1488,233521.06647208595
1489,197507.2985613117
1490,236445.0989905747
1491,192614.1325338345
1492,93077.41012760001
1493,179813.19097950973
1494,294379.4096743312
1495,291358.3610412767
1496,238625.76738805877
1497,180006.1630341153
1498,165503.1979591332
1499,160663.08536017916
1500,156730.5638302444
1501,176784.4040706982
1502,142913.37528981658
1503,286196.75759470667
1504,241884.94975821645
1505,226079.01671945132
1506,186539.43235436146
1507,241218.8033338658
1508,195915.98052303697
1509,160133.4277596836
1510,146286.72207488056
1511,150674.52947185564
1512,173676.57278110497
1513,140696.37030265378
1514,152288.97054377917
1515,189106.78989892828
1516,149994.86197091683
1517,163582.8289031466
1518,130932.65626505035
1519,217452.68239247843
1520,133316.80567471712
1521,134674.3435068419
1522,171736.91626453723
1523,112709.5138400718
1524,126835.10608677863
1525,121462.8290759407
1526,110333.81508134442
1527,107199.32449201032
1528,136881.98047584758
1529,151579.76513793142
1530,181212.36216598295
1531,105958.43894436404
1532,94320.74769807539
1533,145710.43227747665
1534,121839.10053657906
1535,153809.96874317338
1536,105750.76796925935
1537,63574.17327203587
1538,151608.53474961437
1539,193032.78684630667
1540,90213.08682897038
1541,140083.90974571052
1542,141720.85042471215
1543,201992.7394203234
1544,82318.45739690145
1545,108852.9773448321
1546,131692.2385850098
1547,134362.08177488227
1548,133975.3036653379
1549,115897.56939887785
1550,133957.9909342214
1551,105561.56899660133
1552,135466.31088367171
1553,152418.40747883532
1554,117623.45752376283
1555,170235.09714937903
1556,84479.70932329632
1557,106888.79083666517
1558,95908.85946770676
1559,74459.8717746679
1560,127617.23748929272
1561,129394.45627440783
1562,125946.34660372372
1563,119954.63937315991
1564,158112.3333773804
1565,145785.9700722618
1566,241149.64391942456
1567,74449.91963379669
1568,234161.0987510882
1569,138867.72494777606
1570,141223.68732993546
1571,122467.79291428556
1572,145294.40540769638
1573,244843.2596594049
1574,116739.70747303677
1575,234120.49773111095
1576,239500.61229574462
1577,185386.05157796925
1578,140481.82928718504
1579,151161.29457189437
1580,193626.45276791498
1581,153736.71498574992
1582,125439.73147511284
1583,301120.76367038017
1584,219775.22998401636
1585,139301.04105899308
1586,67361.00187892532
1587,99952.61443707127
1588,154312.31260631248
1589,93431.14661446947
1590,131348.6261449561
1591,96035.22132690976
1592,116036.0357689979
1593,121473.14708604733
1594,123409.48829905034
1595,109487.16996698672
1596,227626.84186062595
1597,191855.4690877626
1598,216640.17722079437
1599,166153.02195530946
1600,159418.98289434955
1601,62731.461240186414
1602,113978.10728593948
1603,77908.61805507434
1604,271981.1200655359
1605,236847.47854289276
1606,170516.48782544959
1607,168029.99113928218
1608,216946.3421151638
1609,184238.51659213853
1610,159323.80338857076
1611,140443.1094795029
1612,169839.7824208796
1613,163715.4541974704
1614,122017.16712812745
1615,90586.73492866613
1616,77624.67242425075
1617,90584.71945985487
1618,125903.00672709555
1619,139369.28904869966
1620,151815.08116759415
1621,137334.24297339964
1622,140987.96688262242
1623,263070.3689839043
1624,213127.7207371718
1625,116694.96317917007
1626,165525.9205645574
1627,192000.5963013868
1628,273951.9360973202
1629,180083.7696454422
1630,362346.03021146794
1631,220728.66059353837
1632,241116.73262230607
1633,170517.9829010061
1634,185282.31766647077
1635,175359.7949192744
1636,150676.57985762352
1637,195107.72162926698
1638,181952.17632788647
1639,180186.16759908877
1640,253008.95118199155
1641,178457.56469749156
1642,238691.23975885837
1643,221042.01167247153
1644,238142.33632836223
1645,200730.4550487217
1646,158624.48098813737
1647,158993.0356424337
1648,129748.57331951335
1649,141128.9561047065
1650,113364.30190746384
1651,121216.97982495191
1652,96654.25652409026
1653,98612.27936253475
1654,142431.54490938917
1655,135332.84512380595
1656,139611.87762357504
1657,146140.88092056825
1658,143557.32632242475
1659,117184.86361706968
1660,154642.79428244807
1661,458519.0266136762
1662,403467.33386964875
1663,384687.18470554677
1664,501111.0896682065
1665,308459.5504904197
1666,340342.5697511256
1667,391510.0714202166
1668,344435.259032698
1669,300733.8079858274
1670,352025.3733467001
1671,272221.2170021849
1672,439459.05665724695
1673,298291.97328633454
1674,244699.4445791322
1675,196631.5975325395
1676,195580.99244325064
1677,223145.25709739362
1678,463509.3869210022
1679,403332.5120143804
1680,340784.7819215465
1681,245483.5819642506
1682,322833.40686863597
1683,186323.58445082803
1684,174499.66955836053
1685,171891.70250183242
1686,167650.12814075657
1687,166460.433271167
1688,188933.503188963
1689,194106.7922649849
1690,195135.75817844068
1691,184044.2520990097
1692,259450.0429124458
1693,171383.08897447694
1694,182891.26729350636
1695,162474.27074443162
1696,267805.0390928087
1697,168613.05824747097
1698,353082.31922180636
1699,321220.6366334938
1700,259960.22757050773
1701,272776.6554134033
1702,250584.5873516248
1703,251600.0580097281
1704,282972.3661883222
1705,235786.5686776963
1706,455671.1181875927
1707,214452.63663429487
1708,208480.66914384937
